time,open,high,low,close,atr_1.5,EMA20COLOR,aroon_strength
2024-07-17 16:45:00,18488.31,18499.28,18473.27,18474.28,False,Green,Neutro
2024-07-17 16:50:00,18473.3,18483.32,18470.84,18472.33,False,White,Neutro
2024-07-17 16:55:00,18471.33,18478.33,18465.29,18466.32,False,White,Neutro
2024-07-17 17:00:00,18464.84,18464.84,18447.3,18449.34,False,Red,Forte Baixa
2024-07-17 17:05:00,18450.33,18462.33,18441.34,18461.88,False,Red,Forte Baixa
2024-07-17 17:10:00,18462.34,18462.37,18445.34,18448.36,False,Red,Neutro
2024-07-17 17:15:00,18447.36,18461.97,18444.34,18460.36,False,Red,Neutro
2024-07-17 17:20:00,18461.35,18465.35,18456.34,18456.36,False,Red,Médio
2024-07-17 17:25:00,18455.89,18455.89,18444.93,18451.35,False,Red,Médio
2024-07-17 17:30:00,18451.06,18454.98,18440.91,18441.39,False,Red,Forte Baixa
2024-07-17 17:35:00,18441.9,18450.98,18441.37,18447.39,False,Red,Forte Baixa
2024-07-17 17:40:00,18446.38,18449.36,18436.38,18443.37,False,Red,Forte Baixa
2024-07-17 17:45:00,18444.01,18444.4,18437.35,18443.41,False,Red,Forte Baixa
2024-07-17 17:50:00,18445.01,18445.41,18436.37,18443.01,False,Red,Forte Baixa
2024-07-17 17:55:00,18443.39,18448.37,18438.96,18445.38,False,Red,Forte Baixa
2024-07-17 18:00:00,18446.37,18450.42,18437.94,18442.41,False,Red,Forte Baixa
2024-07-17 18:05:00,18441.42,18443.41,18431.43,18434.07,False,Red,Forte Baixa
2024-07-17 18:10:00,18433.4,18433.43,18421.41,18423.42,False,Red,Neutro
2024-07-17 18:15:00,18424.44,18438.4,18423.44,18435.95,False,Red,Neutro
2024-07-17 18:20:00,18436.45,18443.45,18433.42,18435.44,False,Red,Forte Baixa
2024-07-17 18:25:00,18436.1,18440.45,18433.03,18436.2,False,Red,Médio
2024-07-17 18:30:00,18435.26,18446.47,18434.45,18440.45,False,White,Médio
2024-07-17 18:35:00,18441.05,18443.47,18433.46,18438.47,False,Red,Médio
2024-07-17 18:40:00,18437.46,18439.48,18434.45,18435.47,False,Red,Médio
2024-07-17 18:45:00,18436.47,18440.13,18434.01,18438.48,False,Red,Médio
2024-07-17 18:50:00,18438.0,18445.09,18435.06,18442.46,False,White,Neutro
2024-07-17 18:55:00,18443.05,18449.07,18439.46,18443.5,False,White,Neutro
2024-07-17 19:00:00,18443.06,18446.11,18437.51,18439.08,False,White,Neutro
2024-07-17 19:05:00,18439.49,18441.48,18425.5,18426.11,False,White,Neutro
2024-07-17 19:10:00,18426.52,18431.53,18423.02,18423.5,False,Red,Neutro
2024-07-17 19:15:00,18424.07,18431.52,18416.52,18425.52,False,Red,Neutro
2024-07-17 19:20:00,18425.12,18428.12,18421.52,18423.53,False,Red,Neutro
2024-07-17 19:25:00,18423.55,18430.03,18422.52,18428.5,False,Red,Neutro
2024-07-17 19:30:00,18428.16,18439.56,18427.53,18438.52,False,White,Neutro
2024-07-17 19:35:00,18439.54,18446.54,18436.51,18439.56,False,White,Médio
2024-07-17 19:40:00,18440.12,18444.19,18434.07,18442.52,False,White,Médio
2024-07-17 19:45:00,18441.55,18446.56,18439.52,18443.54,False,Green,Médio
2024-07-17 19:50:00,18444.57,18446.57,18435.58,18438.58,False,White,Médio
2024-07-17 19:55:00,18438.13,18443.57,18437.55,18439.55,False,White,Neutro
2024-07-17 20:00:00,18439.55,18439.55,18428.55,18432.59,False,White,Neutro
2024-07-17 20:05:00,18432.51,18442.59,18428.55,18440.59,False,White,Neutro
2024-07-17 20:10:00,18440.12,18446.61,18438.6,18438.6,False,Green,Neutro
2024-07-17 20:15:00,18439.61,18448.53,18439.61,18446.6,False,Green,Forte Alta
2024-07-17 20:20:00,18447.6,18452.62,18445.2,18448.61,False,Green,Forte Alta
2024-07-17 20:25:00,18449.61,18456.21,18447.62,18455.14,False,Green,Forte Alta
2024-07-17 20:30:00,18454.64,18460.62,18452.6,18454.62,False,Green,Forte Alta
2024-07-17 20:35:00,18455.27,18460.42,18451.15,18453.65,False,Green,Forte Alta
2024-07-17 20:40:00,18454.65,18457.65,18446.62,18447.65,False,Green,Forte Alta
2024-07-17 20:45:00,18447.23,18450.65,18439.64,18443.65,False,White,Médio
2024-07-17 20:50:00,18443.23,18449.23,18433.62,18434.66,False,White,Médio
2024-07-17 20:55:00,18435.26,18445.68,18435.17,18443.22,False,White,Médio
2024-07-17 21:00:00,18442.67,18445.68,18431.67,18431.68,False,White,Médio
2024-07-17 21:05:00,18432.29,18436.65,18428.65,18435.28,False,Red,Médio
2024-07-17 21:10:00,18434.68,18446.34,18434.68,18440.68,False,White,Neutro
2024-07-17 21:15:00,18441.2,18445.7,18438.71,18442.69,False,White,Neutro
2024-07-17 21:20:00,18443.21,18454.72,18443.21,18451.7,False,Green,Médio
2024-07-17 21:25:00,18452.68,18454.7,18447.7,18450.72,False,Green,Médio
2024-07-17 21:30:00,18450.29,18453.29,18444.25,18445.32,False,Green,Médio
2024-07-17 21:35:00,18445.68,18445.72,18432.72,18433.73,False,White,Médio
2024-07-17 21:40:00,18434.27,18435.74,18427.35,18432.39,False,Red,Forte Baixa
2024-07-17 21:45:00,18431.7,18437.26,18428.74,18433.27,False,Red,Forte Baixa
2024-07-17 21:50:00,18434.74,18449.75,18433.7,18443.34,False,White,Forte Baixa
2024-07-17 21:55:00,18443.73,18450.3,18439.76,18445.23,False,White,Neutro
2024-07-18 02:15:00,18488.58,18496.59,18477.63,18477.63,False,Green,Neutro
2024-07-18 02:20:00,18477.65,18481.65,18472.62,18476.66,False,Green,Neutro
2024-07-18 02:25:00,18476.62,18496.67,18475.63,18492.65,False,Green,Neutro
2024-07-18 02:30:00,18492.67,18496.68,18476.65,18478.66,False,Green,Neutro
2024-07-18 02:35:00,18478.66,18487.68,18477.59,18482.65,False,Green,Neutro
2024-07-18 02:40:00,18483.67,18494.68,18483.58,18493.65,False,Green,Neutro
2024-07-18 02:45:00,18494.69,18495.68,18482.68,18483.7,False,Green,Médio
2024-07-18 02:50:00,18483.7,18485.71,18479.65,18481.68,False,Green,Médio
2024-07-18 02:55:00,18480.7,18483.71,18477.6,18477.7,False,Green,Médio
2024-07-18 03:00:00,18477.69,18478.71,18471.68,18471.71,False,Green,Médio
2024-07-18 03:05:00,18471.6,18482.73,18471.6,18480.72,False,Green,Médio
2024-07-18 03:10:00,18480.71,18481.72,18471.66,18471.7,False,Green,Neutro
2024-07-18 03:15:00,18470.73,18479.64,18470.7,18476.73,False,Green,Neutro
2024-07-18 03:20:00,18476.7,18483.75,18476.7,18478.71,False,Green,Neutro
2024-07-18 03:25:00,18478.73,18485.75,18476.66,18484.75,False,Green,Neutro
2024-07-18 03:30:00,18484.76,18486.76,18483.69,18485.72,False,Green,Médio
2024-07-18 03:35:00,18485.68,18486.77,18484.69,18485.75,False,Green,Médio
2024-07-18 03:40:00,18485.74,18486.78,18480.76,18486.78,False,Green,Médio
2024-07-18 03:45:00,18485.78,18486.79,18485.68,18486.77,False,Green,Médio
2024-07-18 03:50:00,18486.71,18486.79,18485.71,18486.78,False,Green,Médio
2024-07-18 03:55:00,18486.79,18486.79,18479.72,18480.77,False,Green,Neutro
2024-07-18 04:00:00,18482.8,18484.8,18478.71,18478.8,False,Green,Neutro
2024-07-18 04:05:00,18478.72,18483.81,18478.72,18482.81,False,Green,Neutro
2024-07-18 04:10:00,18482.79,18482.82,18474.81,18474.81,False,White,Médio
2024-07-18 04:15:00,18474.8,18477.73,18471.82,18471.82,False,White,Médio
2024-07-18 04:20:00,18471.8,18472.83,18463.8,18463.84,False,Red,Neutro
2024-07-18 04:25:00,18463.76,18466.83,18463.71,18464.79,False,Red,Neutro
2024-07-18 04:30:00,18464.73,18466.79,18462.74,18464.81,False,Red,Neutro
2024-07-18 04:35:00,18464.77,18465.86,18463.75,18465.86,False,Red,Neutro
2024-07-18 04:40:00,18465.85,18467.86,18463.74,18466.83,False,Red,Neutro
2024-07-18 04:45:00,18467.78,18475.86,18466.83,18471.84,False,White,Médio
2024-07-18 04:50:00,18471.77,18472.88,18467.77,18472.88,False,White,Médio
2024-07-18 04:55:00,18473.85,18476.88,18471.76,18472.88,False,White,Médio
2024-07-18 05:00:00,18471.86,18473.89,18471.78,18471.89,False,White,Médio
2024-07-18 05:05:00,18471.87,18475.9,18471.79,18473.89,False,White,Médio
2024-07-18 05:10:00,18473.83,18473.9,18472.78,18473.9,False,White,Neutro
2024-07-18 05:15:00,18473.81,18475.91,18471.87,18471.87,False,White,Neutro
2024-07-18 05:20:00,18471.81,18476.92,18467.89,18476.92,False,White,Neutro
2024-07-18 05:25:00,18476.85,18478.93,18474.83,18475.93,False,Green,Neutro
2024-07-18 05:30:00,18476.91,18477.93,18460.89,18461.94,True,White,Neutro
2024-07-18 05:35:00,18462.93,18464.94,18460.9,18461.94,False,Red,Neutro
2024-07-18 05:40:00,18462.93,18470.95,18462.86,18466.91,False,White,Neutro
2024-07-18 05:45:00,18466.86,18472.95,18464.87,18470.95,False,White,Neutro
2024-07-18 05:50:00,18471.85,18472.96,18464.85,18464.95,False,White,Neutro
2024-07-18 05:55:00,18464.85,18466.97,18464.84,18466.97,False,Red,Neutro
2024-07-18 06:00:00,18466.96,18474.93,18466.95,18467.94,False,White,Neutro
2024-07-18 06:05:00,18467.98,18469.98,18467.88,18467.99,False,White,Médio
2024-07-18 06:10:00,18467.96,18469.98,18467.88,18467.98,False,White,Neutro
2024-07-18 06:15:00,18467.91,18468.99,18460.89,18460.98,False,White,Neutro
2024-07-18 06:20:00,18459.96,18465.0,18459.89,18465.0,False,Red,Neutro
2024-07-18 06:25:00,18464.92,18471.0,18462.93,18463.01,False,White,Forte Baixa
2024-07-18 06:30:00,18462.93,18465.93,18460.93,18462.98,False,Red,Forte Baixa
2024-07-18 06:35:00,18462.94,18466.02,18462.94,18465.03,False,Red,Médio
2024-07-18 06:40:00,18464.98,18466.03,18464.93,18466.02,False,Red,Médio
2024-07-18 06:45:00,18466.03,18466.04,18462.02,18465.04,False,Red,Médio
2024-07-18 06:50:00,18465.01,18472.05,18463.9,18469.05,False,White,Médio
2024-07-18 06:55:00,18468.97,18477.06,18468.05,18475.04,False,Green,Neutro
2024-07-18 07:00:00,18473.97,18475.04,18459.99,18460.05,True,White,Neutro
2024-07-18 07:05:00,18460.03,18466.02,18459.05,18463.05,False,Red,Neutro
2024-07-18 07:10:00,18462.97,18464.06,18455.99,18456.04,False,Red,Neutro
2024-07-18 07:15:00,18456.04,18458.07,18454.96,18456.06,False,Red,Neutro
2024-07-18 07:20:00,18456.01,18460.08,18455.97,18458.09,False,Red,Neutro
2024-07-18 07:25:00,18458.07,18458.07,18448.03,18449.06,False,Red,Neutro
2024-07-18 07:30:00,18450.07,18458.1,18449.03,18455.1,False,Red,Neutro
2024-07-18 07:35:00,18455.02,18463.06,18454.02,18454.1,False,White,Neutro
2024-07-18 07:40:00,18454.1,18464.05,18454.1,18463.11,False,White,Médio
